MetroShort,date,city center,outer suburb,dif,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat,wfh_share,population
"Buffalo, NY",2023-02-15,4.601980853051061,-0.2384178354145852,-4.840398688465647,1117380,1112978,1541.1120007722009,1522.9819756756756,45349,733.6790703017158,730.7886880973913,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY,171888.2317428207,-78.873299,42.884102,10.084999999999999,1112978
"Canton, OH",2023-02-15,1.5028889280363338,2.6475837031885097,1.1446947751521759,372957,367517,1318.7162907335908,1307.2977857142855,10753,285.28848138163295,281.12722595884674,15940,"Canton-Massillon, OH",Canton-Massillon,OH,0.24656302,0.28945863,0.30344361,0.33738163,OH,136649.22345414135,-81.373398,40.801998,5.381666666666667,367517
"Cedar Rapids, IA",2023-02-15,1.1057922450933457,-0.8683222633898755,-1.9741145084832212,279353,291239,2738.8703277992277,2723.727970656371,10913,102.56273864701724,106.92661056376215,16300,"Cedar Rapids, IA",Cedar Rapids,IA,0.34184426,0.4455798,0.38302651,0.47254372,IA,171513.77702465456,-91.6688,41.979301,10.738333333333333,291239
"Charleston, SC",2023-02-15,-0.42497648928235365,2.945257199537261,3.370233688819615,677976,788015,3217.342466795367,2934.4360714285713,35181,231.04132565748515,268.54052390937613,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC,277122.0047220648,-79.9347,32.783298,8.625,788015
"Charlotte, NC",2023-02-15,-8.188138073820232,0.3606668919659444,8.548804965786177,1891743,2172467,3781.6736463320462,3713.88224015444,96335,509.3707548253691,584.9585042065466,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,0.32954726,0.4663735,0.37868536,0.5115307,NC,233275.8602744135,-80.843002,35.2243,16.02,2172467
"Chattanooga, TN",2023-02-15,-1.8004811865962247,1.7857100908510508,3.5861912774472753,617809,647757,2816.9416864864866,2759.211157915058,20403,223.90783620447337,234.76166299989325,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,0.27364412,0.35716042,0.31837744,0.39439443,TN,189132.17684510423,-85.310501,35.0481,7.723333333333334,647757
"Chicago, IL",2023-02-15,-9.436043848205586,0.8371335388257635,10.27317738703135,9658114,9701082,8746.601874131275,8595.591525868726,452192,1123.6124903019852,1128.6113318442674,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,0.33973619,0.44786832,0.39180052,0.49589816,IL,244942.05324958503,-87.626099,41.878201,21.345,9701082
"Cincinnati, OH",2023-02-15,-2.612993191698794,2.3847299015207573,4.997723093219552,2346068,2407841,6631.198608108108,6541.125718532819,84301,358.66425764497086,368.1080449467467,17140,"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,0.31457672,0.41423383,0.36198092,0.45618263,OH,193876.16016534585,-84.5093,39.100498,10.743333333333334,2407841
"Cleveland, OH",2023-02-15,0.9961560828589058,1.007255569118233,0.011099486259327218,1967540,1944436,1784.5769525096523,1748.249783011583,82617,1125.4341451200764,1112.2186422643,17460,"Cleveland-Elyria, OH",Cleveland-Elyria,OH,0.31750074,0.4021273,0.3654854,0.44317737,OH,158860.24570392317,-81.689697,41.501301,10.17,1944436
"Colorado Springs, CO",2023-02-15,-2.6792365707249504,-1.8398913530131098,0.8393452177118406,657015,736812,3733.320384169884,3722.0163297297295,33704,176.5212567048862,197.9604426006113,17820,"Colorado Springs, CO",Colorado Springs,CO,0.36108276,0.4663882,0.40308225,0.50151491,CO,324964.626928713,-104.825,38.832298,10.753333333333334,736812
"Columbia, SC",2023-02-15,1.3802824697918643,2.2195193010062204,0.8392368312143561,821713,875238,4630.5428918918915,4483.216555212355,30693,183.28648413038303,195.22545681680617,17900,"Columbia, SC",Columbia,SC,0.3102341,0.39495081,0.36856678,0.44911692,SC,162841.41326241326,-81.0355,34.005798,10.341666666666667,875238
"Columbus, GA",2023-02-15,-10.11122795664132,0.9815953667257148,11.092823323367035,288095,299739,1844.509145173745,1806.9060324324323,8906,159.44105273264844,165.88521739367678,17980,"Columbus, GA-AL",Columbus,GA-AL,0.3130503,0.4157635,0.3517563,0.45372504,GA,125448.84201999774,-84.991707,32.464727,8.283333333333333,299739
"Columbus, OH",2023-02-15,-2.0823082417364396,1.6186297811373893,3.700938022873829,1927792,2104675,4782.868472200772,4730.512099227799,75737,407.5228980631272,444.91483286631137,18140,"Columbus, OH",Columbus,OH,0.34627905,0.44996524,0.3954353,0.49789947,OH,213918.44940185497,-82.999496,39.961201,12.946666666666667,2104675
"Corpus Christi, TX",2023-02-15,-2.702036416829582,0.43154674719440683,3.133583164023989,396807,420827,1432.2285833976837,1254.2614555984555,14972,316.367052681746,335.5177647544048,18580,"Corpus Christi, TX",Corpus Christi,TX,0.25577381,0.30370814,0.31022996,0.34816521,TX,172228.51611902224,-97.394302,27.7945,4.855,420827
"Dallas, TX",2023-02-15,2.110271394914785,1.7993980490012962,-0.3108733459134887,6401545,7359183,9684.832208494208,9338.944444787645,292811,685.4677247355188,788.0101486316678,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,0.34575835,0.46431294,0.39693448,0.51277018,TX,253427.9624680422,-96.798698,32.780399,14.965,7359183
"Denver, CO",2023-02-15,-3.326781734307781,-0.9145282212204074,2.4122535130873732,2506951,2850907,8638.507733204633,8579.675965637065,154086,292.1964663981167,332.2860923207736,19740,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,0.3743498,0.50087583,0.42583242,0.54984295,CO,436057.3797004603,-104.997,39.749298,17.29,2850907
"Des Moines, IA",2023-02-15,-0.21843782174360676,1.541957916226407,1.7603957379700137,562915,633852,3269.3527405405403,3248.4280444015444,27526,173.28843129837756,195.1257627800631,19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,0.3752175,0.48650342,0.42664063,0.53014994,IA,213867.11242734484,-93.619598,41.5896,16.368333333333332,633852
"Detroit, MI",2023-02-15,1.2722825017473152,-0.17457309447015268,-1.4468555962174678,4275414,4285707,4391.751215057915,4235.696669498069,171032,1009.376811797677,1011.80687249445,19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,0.32424751,0.43224531,0.35065165,0.44599846,MI,178151.00853071414,-83.049103,42.332298,15.865,4285707
"Durham, NC",2023-02-15,-1.1741375331718016,-1.7588249852344748,-0.5846874520626733,663067,766642,2161.0009525096525,2109.345145945946,31780,314.34732304212093,363.450240219552,20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,NC,0.41275987,0.52036542,0.45957696,0.57052588,NC,261047.275831357,-78.899696,35.994999,12.396666666666667,766642
"El Paso, TX",2023-02-15,3.867191827871213,0.10178145822379517,-3.7654103696474177,813672,850497,882.5824274131274,880.4384185328186,26135,924.166850142592,965.9926033410565,21340,"El Paso, TX",El Paso,TX,0.29758063,0.34773588,0.34833768,0.38792619,TX,137814.4897465705,-106.487,31.760099,6.256666666666667,850497
"Eugene, OR",2023-02-15,16.96190632045967,0.40758726057085387,-16.554319059888815,341093,361724,2497.262100772201,2440.4819362934363,16993,139.76460752585876,148.21826567148472,21660,"Eugene, OR",Eugene,OR,0.28670657,0.34700429,0.34138468,0.39282721,OR,309980.09929025243,-123.095,44.050701,7.941666666666666,361724
"Evansville, IN",2023-02-15,4.972124830222053,2.5787509878869876,-2.3933738423350652,418117,422318,2903.3899054054054,2842.1136683397685,15785,147.1148056665322,148.59293092478552,21780,"Evansville, IN-KY",Evansville,IN-KY,0.24462347,0.30506468,0.28743854,0.33877203,IN,142205.9784311406,-87.573196,37.974098,5.451666666666666,422318
"Fayetteville, NC",2023-02-15,-7.434082892416225,2.2010842639325654,9.63516715634879,421684,442547,1395.8708961389962,1387.995475289575,11115,303.8079068031722,318.8389356295791,22180,"Fayetteville, NC",Fayetteville,NC,0.26853907,0.34321123,0.32274923,0.3869625,NC,145427.29843083513,-78.8797,35.053101,6.691666666666666,442547
"Fort Wayne, IN",2023-02-15,1.5131782705649155,-0.43049829802454176,-1.9436765685894573,458675,472983,1737.200613899614,1724.1105756756756,18888,266.03572095150923,274.3344926207177,23060,"Fort Wayne, IN",Fort Wayne,IN,0.26707259,0.35065696,0.31005374,0.38711464,IN,150450.11337527185,-85.137604,41.077702,6.1850000000000005,472983
"Fresno, CA",2023-02-15,-0.2612435785596593,0.46256529195861956,0.7238088705182788,972978,1029512,5513.636759459459,5461.08082007722,30022,178.16583054821774,188.51799376692665,23420,"Fresno, CA",Fresno,CA,0.27334729,0.32261312,0.31901005,0.36268142,CA,272957.36082035466,-119.793,36.7369,8.111666666666666,1029512
"Gainesville, FL",2023-02-15,0.1344419985532764,2.914157709306879,2.7797157107536026,288931,308124,1759.8172806949808,1646.787650965251,11180,175.4512792409182,187.10609095191825,23540,"Gainesville, FL",Gainesville,FL,0.2845985,0.3522273,0.33674473,0.40272713,FL,205517.06461661396,-82.325203,29.652,5.473333333333334,308124
"Grand Rapids, MI",2023-02-15,-1.8616107382550349,1.3821818902533636,3.2437926285083982,799143,843684,3355.3126586872586,3237.4029042471043,32208,246.84693985775303,260.60519031881466,24340,"Grand Rapids-Wyoming, MI",Grand Rapids-Wyoming,MI,0.26677683,0.3491981,0.29494813,0.37401992,MI,211770.4601282109,-85.669701,42.966202,10.23,843684
"Greeley, CO",2023-02-15,3.37163516609393,2.030451956395681,-1.341183209698249,178559,204482,3200.3543567567567,3188.1280687258686,6676,56.0074740257724,64.13857774594386,24540,"Greeley, CO",Greeley,CO,0.25570545,0.30535832,0.31712717,0.35681316,CO,370046.0277693941,-104.692,40.422298,4.09,204482
"Green Bay, WI",2023-02-15,11.880393892454082,2.4624464590440582,-9.417947433410024,248368,251664,2583.868746332046,2523.537772200772,9665,98.4205597142296,99.72666261322664,24580,"Green Bay, WI",Green Bay,WI,0.30152082,0.36587563,0.34536955,0.40876964,WI,197550.3065393145,-88.011101,44.514599,8.655,251664
"Greensboro, NC",2023-02-15,-0.2383165783879222,0.4412033758364197,0.679519954224342,874876,918756,2653.624923938224,2614.839396138996,35624,334.5811606218796,351.36230598200837,24660,"Greensboro-High Point, NC",Greensboro-High Point,NC,0.2749936,0.37066185,0.31997371,0.40691423,NC,165867.38668440602,-79.790604,36.071899,7.8100000000000005,918756
"Greenville, SC",2023-02-15,-0.5813501634775156,2.6261018814119614,3.207452044889477,606516,665430,2280.4360544401543,2239.4767115830114,28803,270.82934011458156,297.13637858266884,24860,"Greenville-Anderson-Mauldin, SC",Greenville-Anderson-Mauldin,SC,0.27526933,0.36425245,0.31149352,0.38449478,SC,190111.175051776,-82.3974,34.849701,10.545,665430
"Harrisburg, PA",2023-02-15,0.7048024082046961,1.463252787076452,0.7584503788717559,588886,612117,1709.8591254826256,1664.0935992277991,23692,353.8779310690606,367.83808331697503,25420,"Harrisburg-Carlisle, PA",Harrisburg-Carlisle,PA,0.32349467,0.42247415,0.38510406,0.48745069,PA,194838.8098464467,-76.884399,40.2565,21.086666666666666,612117
"Hartford, CT",2023-02-15,3.5102129402129414,1.1607122107601895,-2.349500729452752,1278432,1272609,1682.232681081081,1637.4277305019305,49641,780.7562899940107,777.2001025107224,73450,"Hartford-West Hartford-East Hartford, CT",Hartford-West Hartford-East Hartford,CT,0.37761199,0.48062438,0.43547434,0.53337711,CT,246905.2558098612,-72.670601,41.764702,22.196666666666665,1272609
"Houston, TX",2023-02-15,-4.935342646554473,1.979243616703668,6.914586263258141,5971020,6939730,9343.713745173744,8964.50764092664,256058,666.073390661173,774.1339823636602,26420,"Houston-The Woodlands-Sugar Land, TX",Houston-The Woodlands-Sugar Land,TX,0.31743258,0.42440853,0.37326643,0.48016521,TX,221189.911728635,-95.363197,29.757401,11.023333333333333,6939730
"Huntsville, AL",2023-02-15,-0.751659915647054,2.125194965334208,2.876854880981262,404830,444494,1296.3304687258687,1240.995449034749,16164,326.21392795185375,358.1753666749778,26620,"Huntsville, AL",Huntsville,AL,0.40514109,0.5850355,0.41486892,0.56752485,AL,194349.48803284575,-86.5858,34.729698,10.558333333333334,444494
"Indianapolis, IN",2023-02-15,-1.1039482726911929,2.111801951176474,3.2157502238676665,1665959,1798936,3390.065162934363,3361.9594335907336,74276,495.5321540631072,535.08557599657,26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis-Carmel-Anderson,IN,0.31272539,0.4090918,0.35959107,0.45413646,IN,181759.70939598756,-86.153535,39.767721,14.2,1798936
"Jackson, MS",2023-02-15,1.2758199004702668,0.9723703459748205,-0.3034495544954463,577976,588211,5051.706322393822,5014.297587644788,21740,115.26559600773015,117.30675926561476,27140,"Jackson, MS",Jackson,MS,0.29780158,0.36943841,0.35386786,0.42772666,MS,144799.39756966665,-90.184303,32.300598,14.375,588211
"Jacksonville, FL",2023-02-15,0.2099877064159224,2.8700824695431506,2.660094763127228,1365245,1521415,3268.717358687258,3058.3247305019304,70362,446.4028905707265,497.4667944271262,27260,"Jacksonville, FL",Jacksonville,FL,0.31392929,0.40762556,0.36613652,0.46043634,FL,233817.61514229517,-81.659069,30.33006,11.053333333333335,1521415
"Kalamazoo, MI",2023-02-15,-42.36984582879403,2.5111199751947115,44.88096580398874,353652,362177,1223.153525868726,1183.903404633205,11617,298.71693806773703,305.9176944526223,28020,"Kalamazoo-Portage, MI",Kalamazoo-Portage,MI,0.27961016,0.35184675,0.32143331,0.38785452,MI,181694.7539416703,-85.584099,42.290699,7.348333333333334,362177
"Kansas City, MO",2023-02-15,-5.982200971818024,1.670095543150255,7.652296514968279,2134909,2250731,9722.363322007724,9577.907863320464,91200,222.89930436435324,234.9919243449183,28140,"Kansas City, MO-KS",Kansas City,MO-KS,0.34792081,0.4454512,0.39479804,0.48864263,MO,203943.5548825452,-94.583504,39.101601,11.543333333333333,2250731
"Knoxville, TN",2023-02-15,0.8070395169966433,0.5070862193078365,-0.29995329768880685,689520,730450,2233.630062162162,2146.718705405405,25844,321.19718259490594,340.26349058250526,28940,"Knoxville, TN",Knoxville,TN,0.29700688,0.38854551,0.34945592,0.42547292,TN,189039.00565764811,-83.919998,35.9646,7.74,730450
"Lancaster, PA",2023-02-15,-0.9613648392017689,1.4304044893865435,2.391769328588312,555785,576267,1164.7329030888031,1122.840911969112,22257,494.9810735212051,513.2223041191185,29540,"Lancaster, PA",Lancaster,PA,0.24055651,0.30670777,0.29463229,0.35845444,PA,238529.0171035254,-76.306099,40.039299,5.413333333333333,576267
"Lansing, MI",2023-02-15,5.1048255430492935,0.5693278974610783,-4.535497645588215,364686,376978,800.4866733590734,786.2835891891892,12994,463.809756446859,479.44279288435536,29620,"Lansing-East Lansing, MI",Lansing-East Lansing,MI,0.36431348,0.44880426,0.40994588,0.49284297,MI,158667.92461758395,-84.552597,42.730499,33.745,376978
"Las Vegas, NV",2023-02-15,-3.9112085939309704,-0.6112902072293205,3.29991838670165,1948681,2179948,5332.802737837838,5193.078828957529,84732,375.24579621896146,419.77949339883367,29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas-Henderson-Paradise,NV,0.23964137,0.32357496,0.30407009,0.37342075,NV,304830.5397351315,-115.141,36.1702,9.541666666666666,2179948
"Lexington, KY",2023-02-15,3.0159839736606404,1.4205590004138784,-1.595424973246762,510995,550810,1973.783447876448,1953.598781853282,22922,261.56599028754744,281.9463265008151,30460,"Lexington-Fayette, KY",Lexington-Fayette,KY,0.26912341,0.34080881,0.30464965,0.36847436,KY,193911.9745187066,-84.497398,38.047401,7.248333333333333,550810
"Lincoln, NE",2023-02-15,7.0176797672537,2.918793029555472,-4.098886737698228,317027,345884,1870.8804590733591,1855.8285934362937,15153,170.82773760532797,186.3771262191588,30700,"Lincoln, NE",Lincoln,NE,0.33379105,0.40259266,0.39048916,0.46179909,NE,204042.08003580093,-96.702301,40.813099,10.171666666666667,345884
"Little Rock, AR",2023-02-15,4.414173940061578,3.236863964559516,-1.177309975502062,792847,824858,5606.293541698842,5451.632984169884,33070,145.4329376724773,151.3047562803974,30780,"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,AR,0.30751234,0.38509184,0.36560059,0.44196075,AR,162278.9057259442,-92.271202,34.7439,15.471666666666666,824858
"Los Angeles, CA",2023-02-15,-3.9188393764405567,-0.4924734252618882,3.4263659511786684,12940245,13369661,4814.182311969112,4506.860230888031,707772,2871.232817763744,2966.513340788837,31080,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,0.33373454,0.44738179,0.39088523,0.50535589,CA,674239.6361434378,-118.253,34.049999,13.896666666666667,13369661
"Lubbock, TX",2023-02-15,1.0571023046859036,2.404725924244821,1.3476236195589175,277426,298326,3468.8190833976832,3459.0220965250965,11535,80.20359288213271,86.24576301484043,31180,"Lubbock, TX",Lubbock,TX,0.28120643,0.34272766,0.33995634,0.39429203,TX,151621.5859804671,-101.847,33.584099,4.8,298326
"Madison, WI",2023-02-15,3.0725794965252002,1.2770757961880843,-1.795503700337116,561081,609765,2907.0058420849423,2861.361850965251,26312,196.0887959035049,213.10307180977549,31540,"Madison, WI",Madison,WI,0.38297972,0.46685943,0.42545289,0.512532,WI,291848.68573592743,-89.386398,43.075298,17.778333333333332,609765
"Manchester, NH",2023-02-15,2.5611627173953333,1.111901211775559,-1.4492615056197744,324888,336030,820.7163934362934,805.5758895752896,15033,403.2990612110862,417.1301603591433,74950,"Manchester, NH",Manchester,NH,0.3406758,0.43576771,0.39278284,0.48086736,NH,314634.80026802886,-71.463097,42.9939,10.395,336030
"Memphis, TN",2023-02-15,-2.279133244206772,1.36364103441888,3.642774278625652,1324563,1348364,4829.027702702702,4710.061937065637,42666,281.21986880393365,286.273093223914,32820,"Memphis, TN-MS-AR",Memphis,TN-MS-AR,0.2602374,0.34014583,0.31813696,0.3973625,TN,156398.9844568037,-90.055496,35.1427,8.43,1348364
"Miami, FL",2023-02-15,-5.821233011884573,1.4733155968875031,7.294548608772076,5551913,6074919,2126.531698069498,1995.619615830116,367977,2782.0497232838516,3044.1267222526385,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,FL,0.31448448,0.40740648,0.3670482,0.46962363,FL,337725.53227917146,-80.191803,25.7749,11.656666666666666,6074919
"Midland, TX",2023-02-15,-0.8569477637418912,0.33993717616744223,1.1968849399093333,147323,187744,1130.6813725868726,1127.4249498069498,10130,130.67211260955887,166.52460993713825,33260,"Midland, TX",Midland,TX,0.23858714,0.3602795,0.31079128,0.45006192,TX,273760.36358935223,-102.077,31.9984,3.8183333333333334,187744
"Milwaukee, WI",2023-02-15,-1.1819354934956459,0.5667111634898554,1.7486466569855013,1504855,1521015,1368.3913038610035,1322.244091891892,63371,1138.1068058673077,1150.328452459714,33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee-Waukesha-West Allis,WI,0.32395992,0.42956898,0.36482447,0.46419871,WI,247289.0295729712,-87.907097,43.036098,10.478333333333333,1521015
"Minneapolis, MN",2023-02-15,-2.073492351215669,0.8615812557412407,2.9350736069569097,3310896,3549082,6850.294151737452,6495.090534362935,166677,509.75363353033634,546.4253317522246,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,MN-WI,0.36763227,0.47622299,0.41136688,0.51238036,MN,297418.505056655,-93.267601,44.977901,16.861666666666668,3549082
"Mobile, AL",2023-02-15,-1.1932569782823461,2.7198467101919293,3.9131036884742754,413910,415316,1319.3172629343628,1256.1736776061775,13744,329.50061554288095,330.6198875233919,33660,"Mobile, AL",Mobile,AL,0.24979036,0.33998099,0.30248636,0.39268759,AL,128768.45976514288,-88.042503,30.691999,5.983333333333333,415316
"Modesto, CA",2023-02-15,-1.0395653258921482,0.4709539849804218,1.51051931087257,466579,492535,1270.4184737451735,1244.8596208494207,13674,374.8045098302998,395.65505359063894,33700,"Modesto, CA",Modesto,CA,0.24801552,0.28783533,0.30633941,0.3433843,CA,323881.9977915644,-120.996,37.640301,5.121666666666666,492535
"Montgomery, AL",2023-02-15,1.3708627742655262,1.1758526672687408,-0.19501010699678534,377768,376467,2911.8731984555984,2849.9802397683397,12135,132.55109447029247,132.0946000771574,33860,"Montgomery, AL",Montgomery,AL,0.28549942,0.3871859,0.33606979,0.43529585,AL,140401.71368309268,-86.309601,32.378502,13.848333333333333,376467
"Naples, FL",2023-02-15,0.80237559173306,6.260962267695786,5.458586675962726,247311,283385,678.2641366795367,562.3791571428571,18599,439.75847408081904,503.9038100909094,34940,"Naples-Immokalee-Marco Island, FL",Naples-Immokalee-Marco Island,FL,0.2173913,0.28339964,0.2681154,0.3334007,FL,400995.43077637383,-81.795354,26.139248,3.555,283385
"Nashville, TN",2023-02-15,-10.177351916376308,2.0646365917831035,12.241988508159412,1563416,1770863,5816.075346332046,5743.691495752896,73736,272.197070674156,308.31443529121356,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,TN,0.30752152,0.40069273,0.36409286,0.45780593,TN,289489.3877058267,-86.784476,36.16775,13.546666666666667,1770863
"New Haven, CT",2023-02-15,4.038343082359588,0.8490638866999123,-3.1892791956596755,838178,833159,621.0014416988417,594.7465822393823,32442,1409.3027602513198,1400.86387190815,75700,"New Haven, CT",New Haven,CT,0.30614942,0.37781811,0.37195748,0.44189078,CT,245893.4098247619,-72.925003,41.305099,9.891666666666666,833159
